year,mstat,depx,state_soi,plateau,phasein,phaseout,maxagi,plateau_state,phasein_state,phaseout_state,state_name,state_fips,ratein,rateout
2018,2,3,1,6431,14300,24300,54800,0,0,0,ALABAMA,1,.44972029,.21085246
2020,2,0,1,538,7100,14600,21700,0,0,0,ALABAMA,1,.075774647,.075774647
2012,1,2,1,5236,13100,17100,41900,0,0,0,ALABAMA,1,.39969465,.21112904
1981,1,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1997,2,3,1,3656,9200,11900,29300,0,0,0,ALABAMA,1,.39739129,.21011494
1995,2,3,1,3110,8700,11300,26600,0,0,0,ALABAMA,1,.35747126,.20326798
1998,2,3,1,3756,9400,12300,30100,0,0,0,ALABAMA,1,.39957446,.21101123
1993,1,3,1,1511,7800,12200,23000,0,0,0,ALABAMA,1,.19371794,.1399074
1986,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2011,2,2,1,5112,12800,21600,45900,0,0,0,ALABAMA,1,.39937499,.21037038
2014,2,2,1,5460,13700,23200,49100,0,0,0,ALABAMA,1,.39854014,.21081081
2012,1,0,1,475,6300,7700,13900,0,0,0,ALABAMA,1,.075396828,.076612905
2001,2,0,1,364,4800,5900,10700,0,0,0,ALABAMA,1,.075833336,.075833336
1999,1,3,1,3816,9600,12400,30500,0,0,0,ALABAMA,1,.39750001,.21082874
2015,2,0,1,503,6600,13700,20300,0,0,0,ALABAMA,1,.076212123,.076212123
2019,2,1,1,3526,10400,24800,46800,0,0,0,ALABAMA,1,.33903846,.16027273
2020,2,2,1,5920,14800,25200,53300,0,0,0,ALABAMA,1,.40000001,.21067616
2016,1,2,1,5572,14000,18100,44600,0,0,0,ALABAMA,1,.398,.21026415
2008,2,0,1,438,5800,10100,15800,0,0,0,ALABAMA,1,.075517245,.076842107
1980,2,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1987,2,1,1,851,6100,6900,15400,0,0,0,ALABAMA,1,.1395082,.10011765
2008,2,2,1,4824,12100,18700,41600,0,0,0,ALABAMA,1,.39867768,.21065502
2021,1,0,1,1502,9900,11600,21400,0,0,0,ALABAMA,1,.15171717,.15326531
2015,1,1,1,3359,9900,18100,39100,0,0,0,ALABAMA,1,.33929294,.15995239
2022,1,0,1,1502,10200,11900,22000,0,0,0,ALABAMA,1,.1472549,.14871287
2003,1,2,1,4204,10600,13700,33600,0,0,0,ALABAMA,1,.39660376,.21125628
